jaspar_matrix	jaspar_id	uniprot_id
MA1464.1	ARNT2	Q9HBZ2
MA1466.1	ATF6	P18850
MA1467.1	ATOH1(var.2)	Q92858
MA1468.1	ATOH7	Q8N100
MA1470.1	BACH2(var.2)	Q9BYV9
MA1471.1	BARX2	Q9UMQ3
MA1472.1	BHLHA15(var.2)	Q7RTS1
MA1473.1	CDX4	O14627
MA1474.1	CREB3L4	Q8TEY5
MA1475.1	CREB3L4(var.2)	Q8TEY5
MA1476.1	DLX5	P56178
MA1478.1	DMRTA2	Q96SC8
MA1479.1	DMRTC2	Q8IXT2
MA1480.1	DPRX	A6NFQ7
MA1481.1	DRGX	A6NNA5
MA1483.1	ELF2	Q15723
MA1484.1	ETS2	P15036
MA1485.1	FERD3L	Q96RJ6
MA1487.1	FOXE1	O00358
MA1489.1	FOXN3	O00409
MA1491.1	GLI3	P10071
MA1493.1	HES6	Q96HZ4
MA1494.1	HNF4A(var.2)	P41235
MA1495.1	HOXA1	P49639
MA1496.1	HOXA4	Q00056
MA1497.1	HOXA6	P31267
MA1498.1	HOXA7	P31268
MA1499.1	HOXB4	P17483
MA1500.1	HOXB6	P17509
MA1501.1	HOXB7	P09629
MA1502.1	HOXB8	P17481
MA1503.1	HOXB9	P17482
MA1504.1	HOXC4	P09017
MA1505.1	HOXC8	P31273
MA1506.1	HOXD10	P28358
MA1507.1	HOXD4	P09016
MA1508.1	IKZF1	Q13422
MA1509.1	IRF6	O14896
MA1511.1	KLF10	Q13118
MA1512.1	KLF11	O14901
MA1513.1	KLF15	Q9UIH9
MA1514.1	KLF17	Q5JT82
MA1515.1	KLF2	Q9Y5W3
MA1516.1	KLF3	P57682
MA1517.1	KLF6	Q99612
MA1518.1	LHX1	P48742
MA1519.1	LHX5	Q9H2C1
MA1520.1	MAF	O75444
MA1521.1	MAFA	Q8NHW3
MA1522.1	MAZ	P56270
MA1523.1	MSANTD3	Q96H12
MA1524.1	MSGN1	A6NI15
MA1525.1	NFATC4	Q14934
MA1527.1	NFIC(var.2)	P08651
MA1528.1	NFIX(var.2)	Q14938
MA1529.1	NHLH2	Q02577
MA1530.1	NKX6-3	A6NJ46
MA1531.1	NR1D1	P20393
MA1532.1	NR1D2	Q14995
MA1533.1	NR1I2	O75469
MA1534.1	NR1I3	Q14994
MA1535.1	NR2C1	P13056
MA1536.1	NR2C2(var.2)	P49116
MA1537.1	NR2F1(var.2)	P10589
MA1538.1	NR2F1(var.3)	P10589
MA1539.1	NR2F6(var.3)	P10588
MA1540.1	NR5A1	Q13285
MA1541.1	NR6A1	Q15406
MA1542.1	OSR1	Q8TAX0
MA1544.1	OVOL1	O14753
MA1545.1	OVOL2	Q9BRP0
MA1546.1	PAX3(var.2)	P23760
MA1547.1	PITX2	Q99697
MA1548.1	PLAGL2	Q9UPG8
MA1549.1	POU6F1(var.2)	Q14863
MA1550.1	PPARD	Q03181
MA1552.1	RARB(var.3)	P10826
MA1553.1	RARG(var.3)	P13631
MA1554.1	RFX7	O14593
MA1555.1	RXRB(var.2)	P28702
MA1556.1	RXRG(var.2)	P48443
MA1557.1	SMAD5	Q99717
MA1558.1	SNAI1	O95863
MA1559.1	SNAI3	Q3KNW1
MA1560.1	SOHLH2	Q9NX45
MA1561.1	SOX12	O15370
MA1562.1	SOX14	O95416
MA1563.1	SOX18	P35713
MA1564.1	SP9	P0CG40
MA1565.1	TBX18	O95935
MA1566.1	TBX3	O15119
MA1567.1	TBX6	O95947
MA1568.1	TCF21(var.2)	O43680
MA1569.1	TFAP2E	Q6VUC0
MA1570.1	TFAP4(var.2)	Q01664
MA1571.1	TGIF2LX	Q8IUE1
MA1572.1	TGIF2LY	Q8IUE0
MA1573.1	THAP11	Q96EK4
MA1574.1	THRB	P10828
MA1575.1	THRB(var.2)	P10828
MA1576.1	THRB(var.3)	P10828
MA1577.1	TLX2	O43763
MA1578.1	VEZF1	Q14119
MA1579.1	ZBTB26	Q9HCK0
MA1580.1	ZBTB32	Q9Y2Y4
MA1581.1	ZBTB6	Q15916
MA1583.1	ZFP57	Q9NU63
MA1584.1	ZIC5	Q96T25
MA1585.1	ZKSCAN1	P17029
MA1587.1	ZNF135	P52742
MA1588.1	ZNF136	P52737
MA1589.1	ZNF140	P52738
MA1592.1	ZNF274	Q96GC6
MA1593.1	ZNF317	Q96PQ6
MA1594.1	ZNF382	Q96SR6
MA1596.1	ZNF460	Q14592
MA1597.1	ZNF528	Q3MIS6
MA1599.1	ZNF682	O95780
MA1600.1	ZNF684	Q5T5D7
MA1601.1	ZNF75D	P51815
MA1602.1	ZSCAN29	Q8IWY8
MA1603.1	Dmrt1	Q9QZ59
MA1604.1	Ebf2	O08792
