jaspar_matrix	jaspar_id	uniprot_id	gene_name
MA0766.2	GATA5	Q9BWX5	GATA5
MA0767.1	GCM2	O75603	GCM2
MA0768.1	LEF1	Q9UJU2	LEF1
MA0769.2	TCF7	P36402	TCF7
MA0770.1	HSF2	Q03933	HSF2
MA0771.1	HSF4	Q9ULV5	HSF4
MA0772.1	IRF7	Q92985	IRF7
MA0773.1	MEF2D	Q05BX2	MEF2D
MA0774.1	MEIS2	O14770	MEIS2
MA0775.1	MEIS3	Q99687	MEIS3
MA0776.1	MYBL1	P10243	MYBL1
MA0777.1	MYBL2	P10244	MYBL2
MA0778.1	NFKB2	Q00653	NFKB2
MA0779.1	PAX1	P15863	PAX1
MA0780.1	PAX3	P23760	PAX3
MA0781.1	PAX9	P55771	PAX9
MA0782.2	PKNOX1	P55347	PKNOX1
MA0783.1	PKNOX2	Q96KN3	PKNOX2
MA0784.1	POU1F1	P28069	POU1F1
MA0785.1	POU2F1	P14859	POU2F1
MA0786.1	POU3F1	Q03052	POU3F1
MA0787.1	POU3F2	P20265	POU3F2
MA0788.1	POU3F3	P20264	POU3F3
MA0789.1	POU3F4	P49335	POU3F4
MA0790.1	POU4F1	Q01851	POU4F1
MA0791.1	POU4F3	Q15319	POU4F3
MA0792.1	POU5F1B	Q06416	POU5F1B
MA0793.1	POU6F2	P78424	POU6F2
MA0794.1	PROX1	Q92786	PROX1
MA0795.1	SMAD3	P84022	SMAD3
MA0796.1	TGIF1	Q15583	TGIF1
MA0797.1	TGIF2	Q9GZN2	TGIF2
MA0798.2	RFX3	P48380	RFX3
MA0799.1	RFX4	Q33E94	RFX4
MA0800.1	EOMES	O95936	EOMES
MA0801.1	MGA	Q8IWI9	MGA
MA0802.1	TBR1	Q16650	TBR1
MA0803.1	TBX15	Q96SF7	TBX15
MA0804.1	TBX19	O60806	TBX19
MA0805.1	TBX1	O43435	TBX1
MA0806.1	TBX4	P57082	TBX4
MA0807.1	TBX5	Q99593	TBX5
MA0808.1	TEAD3	Q99594	TEAD3
MA0809.2	TEAD4	Q15561	TEAD4
MA0810.1	TFAP2A(var.2)	P05549	TFAP2A
MA0811.1	TFAP2B	Q92481	TFAP2B
MA0812.1	TFAP2B(var.2)	Q92481	TFAP2B
MA0813.1	TFAP2B(var.3)	Q92481	TFAP2B
